Rt,Et,Ret,Qt
0.012,0.02796,0,0.36
0.021,0.02161,0,0.357
0.044,0.03895,0.00505,0.36
0.037,0.08219,0,0.3609
0.014,0.09046,0,0.367
0,0.05597,0,0.3708
0,0.04096,0,0.373
0,0.04489,0,0.3678
0,0.01964,0,0.3626
0,0.00805,0,0.3592
0,0,0,0.3555
0,0,0,0.354
0,0,0,0.354
0,0,0,0.3592
0,0,0,0.36
0,0,0,0.36
0,0,0,0.36
0,0,0,0.36
0,0,0,0.36
0,0.0067,0,0.36
0,0.0127,0,0.36
0,0.04736,0,0.36
0,0.04948,0,0.36
0,0.04391,0,0.3578
0.122,0.03419,0.08781,0.3555
0.158,0.06209,0.09591,0.3517
1.457,0.03777,1.41923,0.3518
0.228,0.06266,0.16534,0.3547
0,0.06633,0,0.36
0.014,0.02719,0,0.36
0.085,0.03722,0.04778,0.3626
0.615,0.00927,0.60573,0.3678
0.117,0.00253,0.11447,0.373
0,0.00038,0,0.373
0,0,0,0.3753
0,0,0,0.379
0,0,0,0.3842
0,0,0,0.385
0,0,0,0.3835
0.005,0,0.005,0.3813
0.004,0,0.004,0.3805
0,0,0,0.3782
0.022,0.0007,0.0213,0.3753
0.772,0.0049,0.7671,0.3805
0.132,0.00883,0.12317,0.379
0.712,0.01654,0.69546,0.3838
3.337,0.01588,3.32112,0.4285
4.463,0.02846,4.43454,0.4194
2.982,0.08304,2.89896,0.4309
0.004,0.1503,0,0.4379
0.004,0.1656,0,0.4474
0,0.15881,0,0.4761
0.821,0.06649,0.75451,0.5112
3.679,0.03116,3.64784,0.5525
0.472,0.05525,0.41675,0.6498
2.018,0.00851,2.00949,0.84
0.216,0.01048,0.20552,0.8578
0.029,0,0.029,0.8098
0.391,0,0.391,0.8615
0.017,0,0.017,1.088
0.002,0,0.002,1.1661
0.047,0,0.047,1.1046
0,0,0,1.0328
0.008,0,0.008,1.0361
0.005,0,0.005,1.0171
0,0,0,0.9696
0,0,0,0.9354
0.015,0.00362,0.01138,0.9
0,0.0273,0,0.8566
0.107,0.04364,0.06336,0.8054
0.176,0.06554,0.11046,0.762
0.003,0.08543,0,0.722
0.001,0.15398,0,0.6856
0.008,0.15872,0,0.6476
0.007,0.16212,0,0.6175
0,0.1065,0,0.5945
0.007,0.15263,0,0.577
0,0.1155,0,0.5604
0,0.09458,0,0.5454
0,0.03889,0,0.5304
0.276,0.01061,0.26539,0.5146
2.367,0,2.367,0.5129
1.274,0.0012,1.2728,0.5173
0.389,0.00121,0.38779,0.5336
0.093,0.00041,0.09259,0.5815
0.482,0,0.482,0.5598
0.943,0,0.943,0.5096
0.365,0,0.365,0.478
0.389,0,0.389,0.4831
0.088,0,0.088,0.5211
0.022,0,0.022,0.5541
0.022,0.00901,0.01299,0.565
0.007,0.03314,0,0.567
0.004,0.06576,0,0.569
0.002,0.11983,0,0.577
0.001,0.19345,0,0.584
0.001,0.19872,0,0.5796
0.014,0.25962,0,0.577
0,0.20869,0,0.5744
0,0.15174,0,0.57
0,0.16131,0,0.569
0,0.18616,0,0.564
0,0.16125,0,0.5594
0,0.08878,0,0.5498
0,0.03979,0,0.5349
0,0.01102,0,0.5266
0,0,0,0.5146
0,0,0,0.505
0,0,0,0.4942
0,0.00012,0,0.485
0,0.00017,0,0.478
0,0,0,0.4719
0,0,0,0.464
0,0,0,0.457
0,0,0,0.4563
0,0.0317,0,0.451
0,0.07432,0,0.4466
0,0.08345,0,0.4396
0,0.13753,0,0.4348
0,0.18386,0,0.4284
0,0.20878,0,0.4218
0,0.24159,0,0.418
0,0.21782,0,0.4154
0,0.22855,0,0.411
0,0.20488,0,0.411
0,0.19932,0,0.411
0,0.15454,0,0.411
0,0.11436,0,0.411
0,0.0725,0,0.4087
0,0.02012,0,0.3989
0,0,0,0.3972
0,0,0,0.3935
0,0,0,0.392
0.004,0,0.004,0.3876
0,0,0,0.3911
0,0,0,0.392
0,0,0,0.392
0,0,0,0.392
0,0,0,0.392
0,0.01298,0,0.392
0,0.05213,0,0.392
0,0.09547,0,0.392
0,0.08322,0,0.3859
0,0.17663,0,0.385
0,0.19865,0,0.3828
0,0.22827,0,0.379
0,0.23896,0,0.3738
0,0.24513,0,0.3737
0,0.22595,0,0.3738
0,0.19909,0,0.373
0,0.1632,0,0.373
0,0.10196,0,0.373
0,0.03087,0,0.373
0,0.02035,0,0.373
0,0,0,0.373
0,0,0,0.3678
0,0,0,0.367
0,0,0,0.367
0,0,0,0.367
0,0,0,0.367
0,0,0,0.367
0,0,0,0.3678
0,0.0008,0,0.373
0,0.01954,0,0.37
0,0.05994,0,0.3708
0,0.10829,0,0.367
0,0.16149,0,0.367
0,0.20783,0,0.367
0,0.24073,0,0.3626
0,0.25664,0,0.36
0,0.2631,0,0.36
0,0.26411,0,0.36
0,0.24566,0,0.36
0,0.21326,0,0.3609
0,0.1726,0,0.3644
0,0.12654,0,0.36
0,0.07164,0,0.36
0,0.019,0,0.3548
0,0,0,0.3532
0,0,0,0.348
0,0,0,0.348
0,0,0,0.348
0.007,0,0.007,0.3502
0,0,0,0.3585
0,0,0,0.3495
0,0,0,0.3382
0,0,0,0.3383
0,0.01985,0,0.3472
0,0.05641,0,0.3518
0.001,0.10205,0,0.354
0,0.14958,0,0.354
0,0.19365,0,0.3487
0,0.21909,0,0.336
0,0.20453,0,0.336
0,0.21481,0,0.3345
0,0.1915,0,0.336
0,0.17534,0,0.333
0,0.11591,0,0.3345
0,0.12615,0,0.336
0,0.07824,0,0.336
0.007,0.05327,0,0.333
0,0.00414,0,0.3338
0,0,0,0.3308
0,0,0,0.3574
0,0,0,0.3941
0,0.00034,0,0.3809
0.001,0.00024,0.00076,0.3466
0.001,0,0.001,0.318
0,0,0,0.2969
0,0,0,0.2897
0,0,0,0.2989
0,0.00294,0,0.3158
0,0.02859,0,0.33
0,0.04753,0,0.336
0,0.12699,0,0.336
0,0.17833,0,0.3353
0,0.15503,0,0.3322
0,0.13596,0,0.3308
0,0.17886,0,0.33
0,0.16067,0,0.33
0,0.17162,0,0.327
0,0.13489,0,0.3285
0,0.14355,0,0.33
0,0.10758,0,0.33
0,0.06253,0,0.3248
0.005,0.00998,0,0.3233
0,0,0,0.3195
0,0,0,0.318
